date,deaths
19-Aug-54,1
20-Aug-54,1
21-Aug-54,1
22-Aug-54,0
23-Aug-54,1
24-Aug-54,1
25-Aug-54,0
26-Aug-54,1
27-Aug-54,1
28-Aug-54,1
29-Aug-54,1
30-Aug-54,8
31-Aug-54,56
1-Sep-54,143
2-Sep-54,116
3-Sep-54,54
4-Sep-54,46
5-Sep-54,36
6-Sep-54,20
7-Sep-54,28
8-Sep-54,12
9-Sep-54,11
10-Sep-54,5
11-Sep-54,5
12-Sep-54,1
13-Sep-54,3
14-Sep-54,0
15-Sep-54,1
16-Sep-54,4
17-Sep-54,2
18-Sep-54,3
19-Sep-54,0
20-Sep-54,0
21-Sep-54,2
22-Sep-54,1
23-Sep-54,1
24-Sep-54,1
25-Sep-54,1
26-Sep-54,1
27-Sep-54,1
28-Sep-54,0
29-Sep-54,0
